"","sizes","freq","eggs_freqbysize","prob_hhsize_eggs"
"1",1,97,91,0.938144329896907
"2",2,138,129,0.934782608695652
"3",3,48,42,0.875
"4",4,26,21,0.807692307692308
"5",5,29,26,0.896551724137931
