"","commodities","freq_bought","freq_boughtwitheggs","prob_boughtwitheggs"
"113","LIQUOR","403","44","0.109181141439206"
"114","PEPPERS-ALL","1049","281","0.267874165872259"
"115","CHEESES","1670","338","0.202395209580838"
"116","CHICKEN/POULTRY","741","83","0.112010796221323"
"117","HERBS","368","97","0.263586956521739"
"118","BUTTER","705","239","0.339007092198582"
"119","DISHWASH DETERGENTS","888","228","0.256756756756757"
"120","DOG FOODS","1556","192","0.123393316195373"
"121","TURKEY","431","109","0.252900232018561"
"122","SPICES & EXTRACTS","1611","350","0.217256362507759"
"123","MUSHROOMS","550","146","0.265454545454545"
"124","BREAD","1113","210","0.188679245283019"
"125","FITNESS&DIET","429","34","0.0792540792540792"
"126","FD WRAPS/BAGS/TRSH BG","1928","365","0.189315352697095"
"127","AIR CARE","735","110","0.149659863945578"
"128","VALUE ADDED FRUIT","623","140","0.224719101123595"
"129","HEAT/SERVE","828","166","0.20048309178744"
"130","SWEET GOODS & SNACKS","206","45","0.218446601941748"
"131","MOLASSES/SYRUP/PANCAKE MIXS","706","230","0.325779036827195"
"132","MISC. DAIRY","1133","269","0.237422771403354"
"133","LAUNDRY DETERGENTS","1028","233","0.226653696498054"
"134","COCOA MIXES","586","129","0.220136518771331"
"135","WATER","319","25","0.0783699059561129"
"136","FRZN JCE CONC/DRNKS","358","98","0.273743016759777"
"137","RICE CAKES","279","60","0.21505376344086"
"138","CANNED MILK","287","79","0.275261324041812"
"139","NEW AGE","90","13","0.144444444444444"
"140","SEAFOOD-FRESH","446","120","0.269058295964126"
"141","JUICE","110","19","0.172727272727273"
"142","BROCCOLI/CAULIFLOWER","508","132","0.259842519685039"
"143","MISCELLANEOUS","320","89","0.278125"
"144","CAT LITTER","494","75","0.151821862348178"
"145","CHIPS&SNACKS","188","34","0.180851063829787"
"146","LAUNDRY ADDITIVES","564","127","0.225177304964539"
"147","SQUASH","258","65","0.251937984496124"
"148","SNACKS","164","25","0.152439024390244"
"149","CONDIMENTS","54","6","0.111111111111111"
"150","OLIVES","313","95","0.303514376996805"
"151","NUTS","275","56","0.203636363636364"
"152","CEREAL/BREAKFAST","216","45","0.208333333333333"
"153","VALUE ADDED VEGETABLES","233","52","0.223175965665236"
"154","MISC WINE","174","27","0.155172413793103"
"155","PEARS","281","65","0.231316725978648"
"156","BAKING","61","7","0.114754098360656"
"157","BOTTLE DEPOSITS","16","2","0.125"
"158","SEAFOOD - MISC","119","21","0.176470588235294"
"159","EXOTIC GAME/FOWL","34","11","0.323529411764706"
"160","FROZEN - BOXED(GROCERY)","150","41","0.273333333333333"
"161","DELI SUPPLIES","52","6","0.115384615384615"
"162","FROZEN","352","42","0.119318181818182"
"163","SANDWICHES","93","6","0.0645161290322581"
"164","PARTY TRAYS","61","6","0.0983606557377049"
"165","SUSHI","101","14","0.138613861386139"
"166","PREPARED/PKGD FOODS","104","13","0.125"
"167","FROZEN CHICKEN","119","27","0.226890756302521"
